OPL Format v1,Submit by email:,issues@openpowerlifting.org,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Federation,Date,MeetCountry,MeetState,MeetTown,MeetName,Formula,,,,,,,,,
WRPF UK,'2026-05-07,United Kingdom,Lincoln,Lincoln,WRPF UK Strict Curl,Dots,,,,,,,,,
,,,,,,,,,,,,,,,
Place,Name,Instagram,Sex,Age,Equipment,Division,BodyweightKg,WeightClassKg,Curl1KG,Curl2KG,Curl3KG,Best3CurlKG,TotalKg,Points,Event
1,Sophie Evelyn,soph_powerbreed,F,29,Raw,Open,79.1,82.5,25,30,35,35,35,33.17,B
1,Amanda Riman,Amandakins2,F,39,Raw,OpenDT,81.6,82.5,25,30,-32.5,30,30,27.99,B
1,Alex Young,lexcatsandthings,F,35,Raw,Open,114.6,110+,27.5,32.5,37.5,37.5,37.5,30.5,B
1,Dylan Snook,,M,16,Raw,T16-17DT,82,82.5,30,37.5,42.5,42.5,42.5,28.89,B
1,Arran Jones,arranliftsbadly,M,18,Raw,T18-19DT,81.1,82.5,45,55,-60,55,55,37.62,B
1,Tom Gee,tom__gee,M,42,Raw,OpenDT,87.3,90,62.5,67.5,70,70,70,45.98,B
1,James Gilburton,JimGilburtonLifts,M,32,Raw,OpenDT,93.2,100,55.5,60,65,65,65,41.31,B
1,Anthony Walker,Ant1989w,M,36,Raw,Open,96,100,60,-70,-70,60,60,37.61,B
1,Ikram Khan,,M,25,Raw,Open,108,110,60,67.5,75,75,75,44.73,B
