Full Name,Weight,Date,Location,Division,Sex,Class,Equipment,Lift,Record Type,Record Name
Standard,30,,,Open,M,52,Bare,C,Single Lift,National
Standard,32.5,,,Open,M,56,Bare,C,Single Lift,National
Standard,35,,,Open,M,60,Bare,C,Single Lift,National
Standard,40,,,Open,M,67.5,Bare,C,Single Lift,National
Standard,42.5,,,Open,M,75,Bare,C,Single Lift,National
Standard,47.5,,,Open,M,82.5,Bare,C,Single Lift,National
Standard,52.5,,,Open,M,90,Bare,C,Single Lift,National
Anthony Walker,60,10/05/2026,WRPF UK Strict Curl,Open,M,100,Bare,C,Single Lift,National
Ikram Khan,75,10/05/2026,WRPF UK Strict Curl,Open,M,110,Bare,C,Single Lift,National
Standard,67.5,,,Open,M,125,Bare,C,Single Lift,National
Standard,75,,,Open,M,140,Bare,C,Single Lift,National
Standard,80,,,Open,M,140+,Bare,C,Single Lift,National
Standard,27.5,,,OpenDT,M,52,Bare,C,Single Lift,National
Standard,30,,,OpenDT,M,56,Bare,C,Single Lift,National
Standard,32.5,,,OpenDT,M,60,Bare,C,Single Lift,National
Standard,37.5,,,OpenDT,M,67.5,Bare,C,Single Lift,National
Standard,40,,,OpenDT,M,75,Bare,C,Single Lift,National
Standard,45,,,OpenDT,M,82.5,Bare,C,Single Lift,National
Tom Gee,70,10/05/2026,WRPF UK Strict Curl,OpenDT,M,90,Bare,C,Single Lift,National
James Gilburton,65,10/05/2026,WRPF UK Strict Curl,OpenDT,M,100,Bare,C,Single Lift,National
Standard,60,,,OpenDT,M,110,Bare,C,Single Lift,National
Standard,65,,,OpenDT,M,125,Bare,C,Single Lift,National
Standard,72.5,,,OpenDT,M,140,Bare,C,Single Lift,National
Standard,77.5,,,OpenDT,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,T14-15,M,52,Bare,C,Single Lift,National
Standard,25,,,T14-15,M,56,Bare,C,Single Lift,National
Standard,27.5,,,T14-15,M,60,Bare,C,Single Lift,National
Standard,30,,,T14-15,M,67.5,Bare,C,Single Lift,National
Standard,32.5,,,T14-15,M,75,Bare,C,Single Lift,National
Standard,37.5,,,T14-15,M,82.5,Bare,C,Single Lift,National
Standard,42.5,,,T14-15,M,90,Bare,C,Single Lift,National
Standard,47.5,,,T14-15,M,100,Bare,C,Single Lift,National
Standard,52.5,,,T14-15,M,110,Bare,C,Single Lift,National
Standard,57.5,,,T14-15,M,125,Bare,C,Single Lift,National
Standard,62.5,,,T14-15,M,140,Bare,C,Single Lift,National
Standard,67.5,,,T14-15,M,140+,Bare,C,Single Lift,National
Standard,20,,,T14-15DT,M,52,Bare,C,Single Lift,National
Standard,22.5,,,T14-15DT,M,56,Bare,C,Single Lift,National
Standard,25,,,T14-15DT,M,60,Bare,C,Single Lift,National
Standard,27.5,,,T14-15DT,M,67.5,Bare,C,Single Lift,National
Standard,30,,,T14-15DT,M,75,Bare,C,Single Lift,National
Standard,35,,,T14-15DT,M,82.5,Bare,C,Single Lift,National
Standard,40,,,T14-15DT,M,90,Bare,C,Single Lift,National
Standard,45,,,T14-15DT,M,100,Bare,C,Single Lift,National
Standard,50,,,T14-15DT,M,110,Bare,C,Single Lift,National
Standard,55,,,T14-15DT,M,125,Bare,C,Single Lift,National
Standard,60,,,T14-15DT,M,140,Bare,C,Single Lift,National
Standard,65,,,T14-15DT,M,140+,Bare,C,Single Lift,National
